zid,statusType,statusText,timeOnZillow,price,pricePerSqFt,zestimate,zestimatePerSqFt,rentZestimate,area,lotSize,lotAreaUnit,beds,baths,address,addressStreet,addressCity,addressState,addressZipcode,latitude,longitude,brokerName,isZillowOwned,detailUrl,image,sourceUrl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12467099,FOR_SALE,Townhouse for sale,,356900,172,374000,180,2279,2076,1542,sqft,3,3,"13138 Vineyard Way, Woodbridge, VA 22191",13138 Vineyard Way,Woodbridge,VA,22191,38.666454,-77.25653,Save More Realty LLC,FALSE,https://www.zillow.com/homedetails/13138-Vineyard-Way-Woodbridge-VA-22191/12467099_zpid/,https://photos.zillowstatic.com/fp/b87dc55423333c45d30bed5a89424b2f-p_e.jpg,https://www.zillow.com/homes/for_sale/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22west%22%3A-77.58235838806152%2C%22east%22%3A-77.15320494567871%2C%22south%22%3A38.4490783084738%2C%22north%22%3A38.75226920736712%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sf%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22con%22%3A%7B%22value%22%3Afalse%7D%2C%22apco%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22apa%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22price%22%3A%7B%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22max%22%3A2468%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22customRegionId%22%3A%2257abb633cdX1-CR1o3k2e3o59w8u_11hw4e%22%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12504316,FOR_SALE,Townhouse for sale,,449900,210,463600,216,2499,2144,1673,sqft,4,4,"2235 Sluice Channel Pl, Woodbridge, VA 22192",2235 Sluice Channel Pl,Woodbridge,VA,22192,38.672756,-77.280815,Redfin Corporation,FALSE,https://www.zillow.com/homedetails/2235-Sluice-Channel-Pl-Woodbridge-VA-22192/12504316_zpid/,https://photos.zillowstatic.com/fp/c490e29bcbb773d8f7a22488ac611701-p_e.jpg,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22%3A%2222193%22%2C%22mapBounds%22%3A%7B%22west%22%3A-77.44038153072678%2C%22east%22%3A-77.22580480953538%2C%22south%22%3A38.5691085062637%2C%22north%22%3A38.7206108827325%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22price%22%3A%7B%22min%22%3A0%2C%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22min%22%3A0%2C%22max%22%3A2468%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%2C%22built%22%3A%7B%22min%22%3A0%2C%22max%22%3A2021%7D%2C%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22customRegionId%22%3A%2257b0b633ceX1-CR1o3lga1krw8zi_11hw4e%22%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12457475,FOR_SALE,House for sale,12 days ,485000,224,,,,2168,10502,sqft,5,3,"14557 Eastman St, Woodbridge, VA 22193",14557 Eastman St,Woodbridge,VA,22193,38.637375,-77.34525,"Casals, Realtors",FALSE,https://www.zillow.com/homedetails/14557-Eastman-St-Woodbridge-VA-22193/12457475_zpid/,https://photos.zillowstatic.com/fp/ff20e020e23a589fadaef5e7ffc6b40d-p_e.jpg,https://www.zillow.com/homedetails/3329-Wyndale-Ct-Woodbridge-VA-22192/12477421_zpid/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12499132,FOR_SALE,Townhouse for sale,40 days ,299000,158,307600,162,2469,1894,,,3,3,"12600 Kempston Ln, Woodbridge, VA 22192",12600 Kempston Ln,Woodbridge,VA,22192,38.681744,-77.33116,Samson Properties,FALSE,https://www.zillow.com/homedetails/12600-Kempston-Ln-Woodbridge-VA-22192/12499132_zpid/,https://photos.zillowstatic.com/fp/b20f70639ce55fe0caf2675dd0fd815b-p_e.jpg,https://www.zillow.com/homes/for_sale/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22west%22%3A-77.58235838806152%2C%22east%22%3A-77.15320494567871%2C%22south%22%3A38.4490783084738%2C%22north%22%3A38.75226920736712%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sf%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22con%22%3A%7B%22value%22%3Afalse%7D%2C%22apco%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22apa%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22price%22%3A%7B%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22max%22%3A2468%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22customRegionId%22%3A%2257abb633cdX1-CR1o3k2e3o59w8u_11hw4e%22%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12485423,FOR_SALE,Townhouse for sale,29 days ,475000,242,,,,1960,1599,sqft,3,4,"11578 Hill Meade Ln, Woodbridge, VA 22192",11578 Hill Meade Ln,Woodbridge,VA,22192,38.70499,-77.30489,TTR Sotheby's International Realty,FALSE,https://www.zillow.com/homedetails/11578-Hill-Meade-Ln-Woodbridge-VA-22192/12485423_zpid/,https://photos.zillowstatic.com/fp/5b7c291a48038f9438b0ce31e45b8180-p_e.jpg,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22%3A%2222193%22%2C%22mapBounds%22%3A%7B%22west%22%3A-77.44038153072678%2C%22east%22%3A-77.22580480953538%2C%22south%22%3A38.5691085062637%2C%22north%22%3A38.7206108827325%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22price%22%3A%7B%22min%22%3A0%2C%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22min%22%3A0%2C%22max%22%3A2468%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%2C%22built%22%3A%7B%22min%22%3A0%2C%22max%22%3A2021%7D%2C%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22customRegionId%22%3A%2257b0b633ceX1-CR1o3lga1krw8zi_11hw4e%22%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12464972,FOR_SALE,House for sale,,399000,160,399615,160,2499,2498,10010,sqft,3,2,"14441 Meridian Dr, Woodbridge, VA 22191",14441 Meridian Dr,Woodbridge,VA,22191,38.63826,-77.25522,RE/MAX Executives,FALSE,https://www.zillow.com/homedetails/14441-Meridian-Dr-Woodbridge-VA-22191/12464972_zpid/,https://photos.zillowstatic.com/fp/ce68279475d4f64248ed1c165a214eeb-p_e.jpg,https://www.zillow.com/woodbridge-va-22191/?searchQueryState=%7B%22pagination%22%3A%7B%7D%2C%22usersSearchTerm%22%3A%2222191%22%2C%22mapBounds%22%3A%7B%22west%22%3A-77.39894453163785%2C%22east%22%3A-77.18436781044645%2C%22south%22%3A38.54960223002657%2C%22north%22%3A38.70114579518606%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A67180%2C%22regionType%22%3A7%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22price%22%3A%7B%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22max%22%3A2468%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%2C%22built%22%3A%7B%22max%22%3A2021%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12457450,FOR_SALE,House for sale,,460000,248,,,,1856,0.289990817,acres,4,2,"14814 Dixon Ct, Woodbridge, VA 22193",14814 Dixon Ct,Woodbridge,VA,22193,38.63136,-77.33482,"Union Realty of Virginia, Inc.",FALSE,https://www.zillow.com/homedetails/14814-Dixon-Ct-Woodbridge-VA-22193/12457450_zpid/,https://photos.zillowstatic.com/fp/5bace721a8ed13656a8814e99dcd9a4f-p_e.jpg,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22%3A%2222193%22%2C%22mapBounds%22%3A%7B%22west%22%3A-77.44038153072678%2C%22east%22%3A-77.22580480953538%2C%22south%22%3A38.5691085062637%2C%22north%22%3A38.7206108827325%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22price%22%3A%7B%22min%22%3A0%2C%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22min%22%3A0%2C%22max%22%3A2468%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%2C%22built%22%3A%7B%22min%22%3A0%2C%22max%22%3A2021%7D%2C%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22customRegionId%22%3A%2257b07633ceX1-CR1o3lga1ksuxdq_11hw4e%22%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12473191,FOR_SALE,Townhouse for sale,,455000,223,,,,2040,1599,sqft,3,3,"12308 Aztec Pl, Woodbridge, VA 22192",12308 Aztec Pl,Woodbridge,VA,22192,38.68635,-77.2995,"Keller Williams Chantilly Ventures, LLC",FALSE,https://www.zillow.com/homedetails/12308-Aztec-Pl-Woodbridge-VA-22192/12473191_zpid/,https://photos.zillowstatic.com/fp/7bfec0365b1219aa86eb43b35304127a-p_e.jpg,https://www.zillow.com/homes/for_sale/?searchQueryState=%7B%22usersSearchTerm%22%3A%2222193%22%2C%22mapBounds%22%3A%7B%22west%22%3A-77.44038153072678%2C%22east%22%3A-77.22580480953538%2C%22south%22%3A38.5691085062637%2C%22north%22%3A38.7206108827325%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22price%22%3A%7B%22min%22%3A0%2C%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22min%22%3A0%2C%22max%22%3A2468%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%2C%22built%22%3A%7B%22min%22%3A0%2C%22max%22%3A2021%7D%2C%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%2C%22customRegionId%22%3A%2257b0b633ceX1-CR1o3lga1krw8zi_11hw4e%22%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52001979,FOR_SALE,Coming soon,,450000,227,,,,1982,2605,sqft,3,4,"3959 Brickert Pl, Woodbridge, VA 22192",3959 Brickert Pl,Woodbridge,VA,22192,38.698845,-77.326965,RE/MAX Allegiance,FALSE,https://www.zillow.com/homedetails/3959-Brickert-Pl-Woodbridge-VA-22192/52001979_zpid/,https://photos.zillowstatic.com/fp/83e0325f812c1bb3707bbef98d6bb45e-p_e.jpg,https://www.zillow.com/homes/for_sale/2_p/?searchQueryState=%7B%22mapBounds%22%3A%7B%22west%22%3A-77.58235838806152%2C%22east%22%3A-77.15320494567871%2C%22south%22%3A38.4490783084738%2C%22north%22%3A38.75226920736712%7D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%2C%22sf%22%3A%7B%22value%22%3Afalse%7D%2C%22mf%22%3A%7B%22value%22%3Afalse%7D%2C%22con%22%3A%7B%22value%22%3Afalse%7D%2C%22apco%22%3A%7B%22value%22%3Afalse%7D%2C%22land%22%3A%7B%22value%22%3Afalse%7D%2C%22apa%22%3A%7B%22value%22%3Afalse%7D%2C%22manu%22%3A%7B%22value%22%3Afalse%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22price%22%3A%7B%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22max%22%3A2468%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A11%2C%22customRegionId%22%3A%2257abb633cdX1-CR1o3k2e3o59w8u_11hw4e%22%2C%22pagination%22%3A%7B%22currentPage%22%3A2%7D%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12477032,FOR_SALE,Townhouse for sale,,329900,164,354300,177,2148,2006,1773,sqft,3,4,"14093 Fallbrook Ln, Woodbridge, VA 22193",14093 Fallbrook Ln,Woodbridge,VA,22193,38.64782,-77.32716,First Decision Realty LLC,FALSE,https://www.zillow.com/homedetails/14093-Fallbrook-Ln-Woodbridge-VA-22193/12477032_zpid/,https://photos.zillowstatic.com/fp/21b4c57fd5b093cea86ae0a46ccee103-p_e.jpg,https://www.zillow.com/woodbridge-va-22193/2_p/?searchQueryState=%7B%22pagination%22%3A%7B%22currentPage%22%3A2%7D%2C%22usersSearchTerm%22%3A%2222193%22%2C%22mapBounds%22%3A%7B%22west%22%3A-77.44038153072678%2C%22east%22%3A-77.22580480953538%2C%22south%22%3A38.5691085062637%2C%22north%22%3A38.7206108827325%7D%2C%22regionSelection%22%3A%5B%7B%22regionId%22%3A67182%2C%22regionType%22%3A7%7D%5D%2C%22isMapVisible%22%3Atrue%2C%22filterState%22%3A%7B%22price%22%3A%7B%22min%22%3A0%2C%22max%22%3A500000%7D%2C%22mp%22%3A%7B%22min%22%3A0%2C%22max%22%3A2468%7D%2C%22beds%22%3A%7B%22min%22%3A3%7D%2C%22baths%22%3A%7B%22min%22%3A2%7D%2C%22sqft%22%3A%7B%22min%22%3A1500%7D%2C%22built%22%3A%7B%22min%22%3A0%2C%22max%22%3A2021%7D%2C%22sort%22%3A%7B%22value%22%3A%22globalrelevanceex%22%7D%2C%22ah%22%3A%7B%22value%22%3Atrue%7D%7D%2C%22isListVisible%22%3Atrue%2C%22mapZoom%22%3A12%7D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
